country,Region,Surface area,Population in thousands,Population density,GDP: Gross domestic product,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,International trade: Balance,Health: Total expenditure,Education: Government expenditure,Mobile-cellular subscriptions,Individuals using the Internet
Netherlands,WesternEurope,41542,17036,505.2,750318,1.8,20,78.2,90745,10.9,5.5,123.5,40
New Caledonia,Melanesia,18575,276,15.1,8937,1.4,26,72.6,-1079,,,93.5,526
New Zealand,Oceania,268107,4706,17.9,173417,6.5,23,70.6,-2589,11,6.4,121.8,199
Nicaragua,CentralAmerica,130373,6218,51.7,12693,18.8,26.8,54.4,-3701,9,,116.1,144
Niger,WesternAfrica,1267000,21477,17,7143,39.6,19.1,41.3,-933,6,6.7,46.5,34
Nigeria,WesternAfrica,923768,190886,209.6,494583,20.9,20.4,58.8,67551,3.7,,82.2,361
Niue,Polynesia,260,2,6.2,,,,,,7.4,,,52
Northern Mariana Islands,Micronesia,457,55,119.9,,,,,-2818,,,,102
Norway,NorthernEurope,386194,5305,14.5,386578,1.8,34.6,63.5,16647,9.7,7.4,113.6,64
Oman,WesternAsia,309500,4636,15,69832,1.5,51.1,47.3,1195,3.6,5,159.9,99
Pakistan,SouthernAsia,796095,197016,255.6,266458,25.5,19,55.5,-26464,2.6,2.6,66.9,140
Palau,Micronesia,459,22,47.2,258,3.8,8,88.2,-147,9,,111.5,182
Panama,CentralAmerica,75320,4099,55.1,52132,2.8,27.1,70,-11061,8,3.2,174.2,383
Papua New Guinea,Melanesia,462840,8251,18.2,21315,20.1,28.2,51.8,-114,4.3,,46.6,493
Paraguay,SouthAmerica,406752,6811,17.1,27714,19,29.5,51.6,-1259,9.8,5,105.4,59
Peru,SouthAmerica,1285216,32166,25.1,190428,7.6,33.3,59.2,-145,5.5,4,109.9,685
Philippines,South-easternAsia,300000,104918,351.9,292449,10.5,31.3,58.2,-29596,4.7,,118.1,783
Poland,EasternEurope,312679,38171,124.6,477066,2.6,34.1,63.3,7937,6.4,4.9,148.7,58
Portugal,SouthernEurope,92226,10330,112.8,199122,2.3,22.3,75.4,-11922,9.5,5.1,110.4,281
Puerto Rico,Caribbean,8868,3663,413,102906,0.8,50,49.1,,,6.4,87.1,126
Qatar,WesternAsia,11607,2639,227.3,164641,0.2,56.4,43.5,25196,2.2,3.6,153.6,39
Republic of Korea,EasternAsia,100284,50982,524.3,1377873,2.3,38,59.7,89236,7.4,5.1,118.5,111
Republic of Moldova,EasternEurope,33846,4051,123.3,6475,13.4,20.8,65.8,-1975,10.3,7.5,108,35
Romania,EasternEurope,238391,19679,85.5,177956,4.8,34.9,60.3,-11024,5.6,3.1,107.1,104
Russian Federation,EasternEurope,17098246,143990,8.8,1326016,4.7,31.8,63.5,103234,7.1,3.9,160,235
Rwanda,EasternAfrica,26338,12208,494.9,8096,34.6,15.1,50.3,-1157,7.5,3.6,70.5,62
Saint Helena,WesternAfrica,308,4,10.4,,,,,-48,,,30.7,100
Saint Kitts and Nevis,Caribbean,261,55,212.9,876,1.2,28.1,70.7,-280,5.1,2.8,131.8,52
Saint Lucia,Caribbean,539,179,293.2,1450,2.7,12.9,84.4,-535,6.7,4.9,101.5,62
Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,,,,,-1976,,,,12
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,738,7.5,17.2,75.3,-288,8.6,,103.6,58
Samoa,Polynesia,2842,196,69.4,774,9.3,24.2,66.6,-294,7.2,,58.5,93
San Marino,SouthernEurope,61,33,556.7,1565,0.1,33.3,66.6,,6.1,2.4,115.2,1
Sao Tome and Principe,MiddleAfrica,964,204,212.8,334,12.3,14.7,73,-129,8.1,3.8,65.1,94
Saudi Arabia,WesternAsia,2206714,32938,15.3,653219,2.3,46,51.8,46426,4.7,,176.6,131
Senegal,WesternAfrica,196712,15851,82.3,13633,15.5,24.1,60.4,-2838,4.7,7.4,100,123
Serbia,SouthernEurope,88499,8791,100.5,37160,8.2,31.4,60.5,-4379,10.4,4.2,120.5,71
Seychelles,EasternAfrica,457,95,206,1363,2.7,13.6,83.8,-498,3.4,3.6,158.1,439
Sierra Leone,WesternAfrica,72300,7557,104.7,4483,51.4,17.6,31.1,-492,11.1,2.7,89.5,177
Singapore,South-easternAsia,719,5709,8155.5,292734,1.00E-05,26.4,73.6,46862,4.9,2.9,146.1,293
Sint Maarten (Dutch part),Caribbean,34,40,1180,1094,0.1,12.3,87.6,,,,,51
Slovakia,EasternEurope,49035,5448,113.3,87268,3.7,34.8,61.5,2409,8.1,4.2,122.3,54
Slovenia,SouthernEurope,20273,2080,103.3,42777,2.4,32.7,64.9,939,9.2,5.5,113.2,143
Solomon Islands,Melanesia,28896,611,21.8,1075,28.2,15.6,56.3,-17,5.1,,72.7,245
Somalia,EasternAfrica,637657,14742,23.5,1559,60.2,7.4,32.5,394,,,52.5,175
South Africa,SouthernAfrica,1221037,56717,46.8,314571,2.4,28.9,68.7,-633,8.8,6,159.3,581
South Sudan,EasternAfrica,658841,12576,20.6,13167,4.6,58,37.4,1640,2.7,1.8,23.9,49
Spain,SouthernEurope,505944,46354,92.9,1192955,2.6,23.6,73.7,-20762,9,4.3,107.9,617
Sri Lanka,SouthernAsia,65610,20877,332.9,82316,8.7,30.7,60.6,-8955,3.5,2.2,112.8,587
State of Palestine,WesternAsia,6020,4921,817.4,12677,4.8,23.4,71.9,-4128,,1.3,77.6,31
Sudan,NorthernAfrica,,40533,23,79546,32.4,20.1,47.6,-5861,8.4,,70.5,133
Suriname,SouthAmerica,163820,563,3.6,4879,11.4,27.4,61.1,193,5.7,,180.7,83
Swaziland,SouthernAfrica,17363,1367,79.5,4133,6.6,42.1,51.3,1149,9.3,7,73.2,34
Sweden,NorthernEurope,438574,9911,24.2,495694,1.3,26.3,72.4,-1263,11.9,7.7,130.4,54
Switzerland,WesternEurope,41291,8476,214.5,670790,0.7,25.5,73.8,35534,11.7,5.1,142,74
Syrian Arab Republic,WesternAsia,185180,18270,99.5,28393,20.7,30,49.3,-1118,3.3,,62.4,132
Tajikistan,CentralAsia,142600,8921,63.7,7853,25,28,47.1,-2132,6.9,5.2,98.6,45
Thailand,South-easternAsia,513120,69038,135.1,395168,9.1,35.7,55.1,18260,4.1,4.1,125.8,611
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,10052,12,27.9,65.1,-1972,6.5,,105.4,110
Timor-Leste,South-easternAsia,14919,1296,87.2,2873,5.2,79.9,14.9,-553,1.5,7.8,117.4,24
Togo,WesternAfrica,56785,7798,143.4,4086,45.7,19.7,34.6,-1001,5.2,5.2,65,80
Tokelau,Polynesia,12,1,130,,,,,-1,,,,49
Tonga,Polynesia,747,108,150,402,22.4,21.5,56.1,-196,5.2,,65.6,79
Trinidad and Tobago,Caribbean,5127,1369,266.9,25927,0.5,42.5,57,-249,5.9,,157.7,69
Tunisia,NorthernAfrica,163610,11532,74.2,41199,10.3,27.8,62,-5973,7,6.3,129.9,96
Turkey,WesternAsia,783562,80745,104.9,717888,8.6,26.4,65,-55996,5.4,4.8,96,388
Turkmenistan,CentralAsia,488100,5758,12.3,37597,13.4,51,35.6,1125,2.1,3.1,145.9,54
Turks and Caicos Islands,Caribbean,948,35,37.3,863,0.6,10.4,89,-385,,3.3,,60
Tuvalu,Polynesia,26,11,373.1,33,26,7.6,66.4,-12,16.5,,40.3,96
Uganda,EasternAfrica,241550,42863,214.5,25282,25.6,21.5,52.9,-996,7.2,2.2,50.4,196
Ukraine,EasternEurope,603500,44223,76.3,90615,14,26.3,59.7,-2815,7.1,5.9,144,102
United Arab Emirates,WesternAsia,83600,9400,112.4,370296,0.7,44.9,54.4,-6296,3.6,,187.4,56
United Kingdom,NorthernEurope,242495,66182,273.6,2858003,0.7,19.4,79.9,-219713,9.1,5.7,125.8,102
United Republic of Tanzania,EasternAfrica,947303,57310,64.7,45628,31.1,26.1,42.9,-3134,5.6,3.5,75.9,1082
United States of America,NorthernAmerica,9833517,324460,35.5,18036648,1,19.7,79.3,-796494,17.1,5.4,117.6,1513
United States Virgin Islands,Caribbean,347,105,299.7,,,,,,,,,58
Uruguay,SouthAmerica,173626,3457,19.8,53442,6.8,28,65.2,-1173,8.6,4.4,160.2,106
Uzbekistan,CentralAsia,448969,31911,75,69004,19.2,32.9,47.9,2295,5.8,,73.3,59
Vanuatu,Melanesia,12189,276,22.7,737,26.7,8.4,64.9,-366,5,5.5,66.2,137
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,344331,5.3,44.7,50,3407,5.3,,93,328
Viet Nam,South-easternAsia,330967,95541,308.1,193241,18.9,37,44.2,2520,7.1,5.7,130.6,616
Wallis and Futuna Islands,Polynesia,142,12,84.1,,,,,-51,,,,89
Western Sahara,NorthernAfrica,266000,553,2.1,,,,,,,,,49
Yemen,WesternAsia,527968,28250,53.5,29688,14.7,36.9,48.4,-6291,5.6,,68,298
Zambia,EasternAfrica,752612,17094,23,21255,8.2,32.3,59.5,-937,5,,74.5,88
Zimbabwe,EasternAfrica,390757,16530,42.7,13893,13,30.5,56.5,-2379,6,8.4,84.8,89
